ProjectCode;BH_ID;Motherhole;HoleType;MaxDepth;DepthFrom;DepthTo;Date;Cr2O3_%;FeO_%;SiO2_%;MgO_%;Al2O3_%;CaO_%;P_%;Au_ICP_ppm;Pt_ICP_ppm;Pd_ICP_ppm;Rh_ICP_ppm;Ir_ICP_ppm;Ru_ICP_ppm;Stratigraphy;Filter
J1110;SC11;SC11;borehole;460.2;48.25;48.7;23. Feb 09;33.77;22.63;11.33;9.90;18.60;2.63;0.00;0.01;1.82;0.23;0.23;0.15;0.45;MG2;1
J1116;SC12;SC12;borehole;628.5;217.29;217.88;23. Feb 09;36.35;23.81;8.24;9.59;17.38;1.62;0.00;0.01;1.40;0.35;0.23;0.16;0.57;MG2;1
J1113;SC13;SC13;borehole;666.04;238.05;238.57;23. Dez 08;37.48;24.67;5.86;9.76;17.98;0.66;0.00;0.01;1.10;0.30;0.21;0.15;0.62;MG2;1
J1108;SC14;SC14;borehole;566.8;155.63;156.14;04. Aug 08;34.15;21.93;10.68;10.02;17.88;1.83;0.00;0.01;1.11;0.31;0.20;0.14;0.64;MG2;1
J1112;SC15;SC15;borehole;560.65;139.92;140.51;23. Dez 08;35.21;23.84;10.19;9.70;17.90;1.45;0.00;0.01;1.27;0.34;0.24;0.15;0.70;MG2;1
J1120;SC16;SC16;borehole;571.35;161.22;161.86;01. Jul 08;35.70;23.16;9.20;9.75;17.81;2.30;0.00;0.01;1.17;0.16;0.22;0.17;0.74;MG2;1
J1114;SC17;SC17;borehole;455.32;45.07;45.5;23. Feb 09;33.76;22.81;11.14;10.66;17.40;2.04;0.01;0.01;1.28;0.35;0.25;0.17;0.76;MG2;1
J1115;SC18;SC18;borehole;566.18;142.37;143.09;23. Feb 09;33.94;21.90;10.73;9.40;17.71;2.32;0.01;0.01;1.12;0.25;0.20;0.14;0.69;MG2;1
J1118;SC19;SC19;borehole;578.94;157.82;158.36;23. Feb 09;34.48;23.04;10.41;10.31;17.55;1.69;0.00;0.02;1.24;0.19;0.20;0.14;0.58;MG2;1
J1117;SC26;SC26;borehole;559.27;139.11;139.47;23. Feb 09;36.93;23.93;8.02;9.69;17.47;1.92;0.00;0.01;2.79;0.20;0.24;0.18;0.69;MG2;1
J1118;SC27;SC27;borehole;453.22;22.27;22.76;23. Feb 09;34.48;23.46;11.13;10.51;17.04;1.47;0.00;0.01;0.98;0.27;0.20;0.15;0.69;MG2;1
J1095;SC28;SC28;borehole;159.02;122.95;123.53;15. Jan 09;34.08;22.82;10.05;9.45;17.16;1.34;0.00;0.01;1.32;0.26;0.20;0.16;0.63;MG2;1
J1117;SC28A;SC28A;borehole;575.34;125.62;126.12;23. Feb 09;35.97;23.88;9.16;10.12;18.31;1.77;0.00;0.01;1.47;0.21;0.23;0.16;0.67;MG2;1
J1115;SC29;SC29;borehole;471.86;44.55;45.07;23. Feb 09;35.43;23.43;8.83;10.09;17.37;1.67;0.00;0.01;1.19;0.32;0.21;0.15;0.67;MG2;1
J1123;SC31;SC31;borehole;476.77;52.34;52.89;23. Feb 09;33.17;23.00;11.38;10.32;16.66;1.65;0.00;0.01;1.40;0.26;0.21;0.16;0.63;MG2;1
J1110;SC33;SC33;borehole;520.4;112.68;113.21;23. Feb 09;35.23;23.01;9.92;9.64;18.25;2.13;0.00;0.01;1.10;0.29;0.20;0.13;0.58;MG2;1
J1116;SC38;SC38;borehole;467.39;49.52;50.04;23. Feb 09;35.99;23.93;8.39;10.09;17.38;1.63;0.00;0.01;1.19;0.25;0.21;0.15;0.72;MG2;1
J1117;SC39;SC39;borehole;581.08;156.14;156.74;01. Jul 08;34.01;22.24;10.53;10.17;18.15;2.19;0.00;0.01;1.13;0.28;0.18;0.15;0.75;MG2;1
J1118;SC40;SC40;borehole;564.8;152.23;152.88;23. Feb 09;36.90;24.38;7.37;10.63;17.92;1.30;0.00;0.01;1.16;0.27;0.21;0.15;0.70;MG2;1
J1114;SC41;SC41;borehole;642.04;233.57;233.67;23. Feb 09;37.52;25.38;6.23;9.66;17.96;1.30;0.00;0.01;1.00;0.30;0.23;0.11;0.58;MG2;1
J1115;SC41;SC41;borehole;642.04;234.04;234.41;23. Feb 09;37.46;23.59;7.30;9.62;18.31;1.52;0.00;0.01;1.02;0.24;0.17;0.16;0.76;MG2;1
J1129;SC42;SC42;borehole;577.5;160.35;160.95;23. Feb 09;34.29;22.91;9.95;10.11;17.43;2.03;0.00;0.01;1.08;0.30;0.19;0.14;0.70;MG2;1
J1132;SC43;SC43;borehole;652.65;242.02;242.51;23. Feb 09;34.86;23.96;10.00;10.49;16.62;1.29;0.00;0.01;1.16;0.30;0.19;0.15;0.67;MG2;1
J1118;SC44;SC44;borehole;565.3;140.3;140.84;04. Aug 08;34.44;23.04;9.72;10.27;17.85;1.45;0.00;0.01;1.19;0.29;0.20;0.15;0.68;MG2;1
J1122;SC45;SC45;borehole;652;218.68;219.14;23. Feb 09;36.75;25.53;6.80;9.92;17.39;1.35;0.00;0.01;1.59;0.27;0.20;0.18;0.80;MG2;1
J1113;SC46;SC46;borehole;445.4;44.99;45.55;23. Feb 09;35.79;23.45;9.56;10.03;18.32;2.02;0.00;0.01;1.01;0.27;0.16;0.14;0.62;MG2;1
J1116;SC47;SC47;borehole;467.86;41.59;42.04;23. Feb 09;37.80;24.57;6.26;9.58;18.22;0.91;0.00;0.01;1.21;0.25;0.19;0.16;0.71;MG2;1
J1118;SC48;SC48;borehole;505;102.35;102.85;23. Feb 09;35.02;23.30;8.56;10.21;17.81;1.72;0.00;0.01;1.82;0.42;0.23;0.14;0.67;MG2;1
J1122;SC50;SC50;borehole;418.65;11.2;11.76;23. Feb 09;32.29;22.10;11.06;9.39;17.50;4.05;0.00;0.01;1.14;0.32;0.20;0.16;0.66;MG2;1
J1124;SC53;SC53;borehole;645;221.28;221.92;23. Feb 09;35.85;23.56;8.49;10.12;17.64;1.95;0.00;0.01;0.98;0.32;0.28;0.14;0.63;MG2;1
J1113;SC56;SC56;borehole;550.65;148.1;148.66;23. Feb 09;34.31;22.51;10.72;10.00;16.95;1.94;0.00;0.01;1.59;0.40;0.28;0.12;0.47;MG2;1
J1125;SC57;SC57;borehole;556.75;139.9;141.5;23. Feb 09;33.62;21.91;10.17;9.57;17.89;2.32;0.00;0.01;1.36;1.05;0.46;0.20;0.47;MG2;1
J1116;SC58;SC58;borehole;619.75;216.65;217;23. Feb 09;36.16;23.73;7.70;10.02;18.86;1.60;0.00;0.01;1.27;0.48;0.24;0.17;0.79;MG2;1
J1107;SC61;SC61;borehole;331.75;105.44;105.95;23. Feb 09;37.29;24.53;6.04;10.23;17.28;1.22;0.00;0.01;1.29;0.39;0.25;0.18;0.73;MG2;1
J1104;SC63;SC63;borehole;333.75;92.63;93.31;23. Feb 09;34.31;23.67;10.40;9.92;17.51;1.99;0.00;0.01;1.08;0.45;0.29;0.12;0.48;MG2;1
J1122;SC65;SC65;borehole;484.75;60;60.51;23. Feb 09;35.81;23.72;9.33;10.26;17.81;2.09;0.00;0.01;1.22;0.27;0.21;0.15;0.68;MG2;1
J1125;SC66;SC66;borehole;622.75;190.57;191.12;23. Feb 09;34.66;23.23;10.22;9.63;18.02;2.14;0.00;0.01;1.08;0.17;0.22;0.14;0.60;MG2;1
J1113;SC67;SC67;borehole;508.75;83.98;84.42;23. Feb 09;34.86;23.52;10.29;9.63;18.36;1.75;0.00;0.01;2.47;0.30;0.23;0.17;0.75;MG2;1
J1121;SC68;SC68;borehole;588.2;174.8;175.37;23. Feb 09;34.55;23.15;9.59;10.27;17.92;2.14;0.00;0.01;1.21;0.27;0.23;0.20;0.82;MG2;1
J1104;SC69;SC69;borehole;325.46;92.54;93.04;23. Feb 09;32.65;22.66;12.07;10.33;18.84;1.95;0.00;0.01;1.49;0.39;0.22;0.17;0.68;MG2;1
J1117;SC71;SC71;borehole;334.75;94.19;94.7;23. Feb 09;36.09;23.36;8.20;9.56;18.01;1.47;0.00;0.01;1.16;0.24;0.24;0.12;0.67;MG2;1
J1115;ZK23;ZK23;borehole;541.7;110.79;111.2;01. Jul 08;32.99;23.00;12.31;9.89;17.80;1.47;0.00;0.01;0.88;0.14;0.18;0.09;0.54;MG2;1
J1117;ZK23;ZK23;borehole;541.7;115.54;115.61;01. Jul 08;24.70;20.41;23.18;14.38;14.22;0.93;0.00;0.01;13.72;0.66;0.39;0.24;0.52;MG2;1
J1116;ZK23;ZK23;borehole;541.7;111.68;111.83;01. Jul 08;36.32;23.60;8.01;9.48;17.45;2.24;0.00;0.01;1.88;0.14;0.24;0.17;0.87;MG2;1
J1114;ZK24;ZK24;borehole;505.37;121.9;122.22;04. Aug 08;39.66;25.88;3.17;10.02;16.53;0.80;0.00;0.01;1.64;0.34;0.25;0.14;0.77;MG2;1
J1113;ZK25;ZK25;borehole;562.45;194.74;195.28;23. Dez 08;35.08;24.03;8.00;9.82;17.44;1.67;0.00;0.01;1.70;0.31;0.25;0.20;0.91;MG2;1
J1112;ZK37;ZK37;borehole;445.5;21.72;22.25;11. Aug 08;36.52;23.22;7.83;9.58;17.66;1.73;0.00;0.01;0.97;0.16;0.25;0.13;0.65;MG2;1
J1114;ZK38;ZK38;borehole;639.35;250.16;250.72;04. Aug 08;34.35;23.38;10.12;9.46;17.49;1.72;0.00;0.01;1.38;0.15;0.22;0.14;0.62;MG2;1
J1119;ZK39;ZK39;borehole;498.2;113.91;114.02;11. Aug 08;37.53;26.09;6.28;9.31;18.00;0.83;0.00;0.01;1.50;0.15;0.21;0.20;0.89;MG2;1
J1116;ZK42;ZK42;borehole;415;20.4;20.46;11. Aug 08;21.96;43.38;3.11;3.01;6.83;4.03;0.01;0.01;13.11;0.28;0.58;0.25;0.35;MG2;1
J1117;ZK45;ZK45;borehole;467.7;69.47;69.91;23. Feb 09;42.59;22.52;3.34;9.90;18.36;0.55;0.00;0.01;1.83;0.20;0.34;0.20;1.00;MG2;1
J1123;ZK46;ZK46;borehole;644;204.34;204.78;23. Feb 09;43.38;22.53;3.67;10.09;17.16;1.03;0.00;0.01;1.56;0.19;0.30;0.17;0.89;MG2;1
